Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,84,169,26 May 2023,8,188.56
2,137,301,23 January 2023,10,216.6
3,216,261,27 May 2024,6,85.5
4,433,343,25 November 2023,7,301.21
5,14,431,26 July 2023,7,136.36
6,439,119,11 October 2024,5,249.4
7,195,467,23 October 2023,6,82.92
8,32,159,07 May 2024,4,144.84
9,109,407,04 January 2024,9,379.71
10,94,122,09 July 2024,4,123
11,131,206,16 October 2023,1,38.01
12,454,3,17 June 2024,2,31.5
13,420,180,08 June 2023,5,125.45
14,454,319,24 August 2023,2,85.22
15,127,479,10 January 2023,6,229.62
16,412,196,06 October 2023,8,53.52
17,462,481,20 March 2023,5,52.75
18,377,101,07 August 2024,4,193.96
19,496,60,17 November 2023,9,316.26
20,195,67,14 July 2023,1,10.23
21,356,287,05 December 2024,3,120.57
22,177,427,10 June 2024,3,54
23,119,301,04 August 2023,3,64.98
24,266,192,10 July 2023,3,145.11
25,265,250,25 May 2023,10,126.5
26,294,407,11 June 2023,1,42.19
27,310,156,03 December 2024,1,31.68
28,151,423,27 November 2024,8,205.04
29,305,446,05 October 2023,8,275.92
30,438,248,23 September 2023,6,281.94
31,386,279,12 March 2024,8,244
32,292,313,06 December 2024,4,188.64
33,478,253,15 April 2024,5,58.3
34,463,146,27 June 2024,3,43.5
35,303,172,08 July 2023,5,184.1
36,417,260,21 January 2024,9,446.31
37,110,411,27 December 2023,4,60.12
38,15,466,26 June 2023,4,148.68
39,488,422,03 August 2024,8,367.28
40,120,450,03 July 2024,2,91.5
41,418,147,05 May 2024,8,361.6
42,415,70,19 September 2023,3,70.35
43,199,305,25 March 2024,7,221.62
44,234,460,24 July 2024,5,179.4
45,470,67,16 November 2024,4,40.92
46,319,442,08 December 2023,1,48.48
47,6,360,23 July 2024,3,148.02
48,458,477,25 February 2024,5,138.55
49,322,336,14 August 2024,7,168.56
50,474,88,06 April 2024,1,40.22
51,155,491,01 September 2024,5,74.35
52,173,161,20 May 2024,7,151.2
53,160,242,02 January 2024,3,101.37
54,446,393,01 September 2024,3,132
55,18,281,11 January 2024,7,114.38
